Question,Answer (1=correct 0=wrong)
In which country does the Nile start?,0
Who was John F. Kennedy's vice president?,1
Who is the mayor of Berlin?,1
How many students does the Free University in Amsterdam have?,0
When was Alberta admitted as province?,1
Who produces Orangina?,1
How tall is Michael Jordan?,1
What is the capital of Canada?,1
Who is the governor of Wyoming?,1
Who was the father of Queen Elizabeth II?,0
How many languages are spoken in Turkmenistan?,1
Give me all movies directed by Francis Ford Coppola.,0
What is the birth name of Angela Merkel?,1
In which military conflicts did Lawrence of Arabia participate?,0
Who developed Minecraft?,0
What is the melting point of copper?,0
How many inhabitants does Maribor have?,1
How tall is Claudia Schiffer?,1
Who founded Intel?,1
Who is the husband of Amanda Palmer?,1
What is the average temperature on Hawaii?,0
Who created Goofy?,1
Who invented the zipper?,0
What is the ruling party in Lisbon?,0
What are the nicknames of San Francisco?,1
When were the Hells Angels founded?,1
What is the time zone of Salt Lake City?,1
Which instruments does Cat Stevens play?,1
How many employees does Google have?,0
When was the Statue of Liberty built?,1
How many children did Benjamin Franklin have?,1
When did Michael Jackson die?,1
List the children of Margaret Thatcher.,1
Who was called Scarface?,1
How high is the Mount Everest?,1
Who created the comic Captain America?,1
What is the largest city in Australia?,1
Who composed the music for Harold and Maude?,1
Where is the residence of the prime minister of Spain?,0
Who painted The Storm on the Sea of Galilee?,0
How many employees does IBM have?,1
Which states border Illinois?,0
In which country is the Limerick Lake?,1
Which television shows were created by Walt Disney?,1
Which awards did WikiLeaks win?,0
What is the currency of the Czech Republic?,1
What is the area code of Berlin?,1
Who is the owner of Universal Studios?,0
When was the Battle of Gettysburg?,1
Which river does the Brooklyn Bridge cross?,1
What is the official language of Suriname?,1
Who is the mayor of Tel Aviv?,1
Who designed the Brooklyn Bridge?,1
What is the highest place of the Urals?,1
Who is the editor of Forbes?,1
How many countries are there in Europe?,1
What did Bruce Carver die from?,0
Give me all federal chancellors of Germany.,0
Who developed the video game World of Warcraft?,1
What is the official website of Tom Cruise?,0
In which city did John F. Kennedy die?,1
Who created Wikipedia?,0
Give me all actors starring in Last Action Hero.,1
Give me all films produced by Hal Roach.,1
Which languages are spoken in Estonia?,1
Who was the first president of the United States?,0
In which programming language is GIMP written?,1
Who wrote the book The Pillars of the Earth?,1
When was Capcom founded?,1
Who was the first to climb Mount Everest?,1
What is the official color of the University of Oxford?,1
How deep is Lake Placid?,0
Give me the grandchildren of Bruce Lee.,0
Where was Bach born?,1
How many pages does War and Peace have?,1
Which pope succeeded John Paul II?,0
When is Halloween?,1
What was the last movie with Alec Guinness?,0
What does CPU stand for?,1
Who has Tom Cruise been married to?,1
When was Carlo Giuliani shot?,1
,56
